grading 41 of 50 records in experiments/speculative-tool-exec/modal/runs/20260915T044016Z-harness-7/harness.jsonl (concurrency 8)
django__django-11211 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 76, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12096 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 43, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10449 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 30, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10323 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 40, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10435 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 74, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13091 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 2}, 'PASS_TO_PASS': {'success': 77, 'failure': 12}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13480 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 43, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12481 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 7, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11163 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 141, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12419 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 25, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-10081 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 62, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5262 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 108, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13372 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 44, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13551 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 17, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13615 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 70, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
